Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
Beginner-U17kg Male,MALE,4,6,,17,WHITE,WHITE,120,,120
Beginner-U17kg Female,FEMALE,4,6,,17,WHITE,WHITE,120,,120
Beginner-U20kg Male,MALE,4,6,17.1,20,WHITE,WHITE,120,,120
Beginner-U20kg Female,FEMALE,4,6,17.1,20,WHITE,WHITE,120,,120
Beginner-U23kg Male,MALE,4,6,20.1,23,WHITE,WHITE,120,,120
Beginner-U23kg Female,FEMALE,4,6,20.1,23,WHITE,WHITE,120,,120
Beginner-U26kg Male,MALE,4,6,23.1,26,WHITE,WHITE,120,,120
Beginner-U26kg Female,FEMALE,4,6,23.1,26,WHITE,WHITE,120,,120
Beginner-U29kg Male,MALE,4,6,26.1,29,WHITE,WHITE,120,,120
Beginner-U29kg Female,FEMALE,4,6,26.1,29,WHITE,WHITE,120,,120
Beginner-U32kg Male,MALE,4,6,29.1,32,WHITE,WHITE,120,,120
Beginner-U32kg Female,FEMALE,4,6,29.1,32,WHITE,WHITE,120,,120
Beginners+32kg Male,MALE,4,6,32.1,,WHITE,WHITE,120,,120
Beginners+32kg Female,FEMALE,4,6,32.1,,WHITE,WHITE,120,,120
WYO Boys U 21kg 7 Yrs,MALE,7,7,,21,ORANGE,WHITE,120,,240
WYO Boys U 21kg 8 Yrs,MALE,8,8,,21,ORANGE,WHITE,120,,240
WYO Boys U 24kg 7 Yrs,MALE,7,7,21.1,24,ORANGE,WHITE,120,,240
WYO Boys U 24kg 8 Yrs,MALE,8,8,21.1,24,ORANGE,WHITE,120,,240
WYO Boys U 27kg 7 Yrs,MALE,7,7,24.1,27,ORANGE,WHITE,120,,240
WYO Boys U 27kg 8 Yrs,MALE,8,8,24.1,27,ORANGE,WHITE,120,,240
WYO Boys U 30kg 7 Yrs,MALE,7,7,27.1,30,ORANGE,WHITE,120,,240
WYO Boys U 30kg 8 Yrs,MALE,8,8,27.1,30,ORANGE,WHITE,120,,240
WYO Boys U 34kg 7 Yrs,MALE,7,7,30.1,34,ORANGE,WHITE,120,,240
WYO Boys U 34kg 8 Yrs,MALE,8,8,30.1,34,ORANGE,WHITE,120,,240
WYO Boys U 38kg 7 Yrs,MALE,7,7,34.1,38,ORANGE,WHITE,120,,240
WYO Boys U 38kg 8 Yrs,MALE,8,8,34.1,38,ORANGE,WHITE,120,,240
WYO Boys U 42kg 7 Yrs,MALE,7,7,38.1,42,ORANGE,WHITE,120,,240
WYO Boys U 42kg 8 Yrs,MALE,8,8,38.1,42,ORANGE,WHITE,120,,240
WYO Boys U 46kg 7 Yrs,MALE,7,7,42.1,46,ORANGE,WHITE,120,,240
WYO Boys U 46kg 8 Yrs,MALE,8,8,42.1,46,ORANGE,WHITE,120,,240
WYO Boys U 50kg 7 Yrs,MALE,7,7,46.1,50,ORANGE,WHITE,120,,240
WYO Boys U 50kg 8 Yrs,MALE,8,8,46.1,50,ORANGE,WHITE,120,,240
WYO Boys +50kg 7 Yrs,MALE,7,7,50.1,,ORANGE,WHITE,120,,240
WYO Boys +50kg 8 Yrs,MALE,8,8,50.1,,ORANGE,WHITE,120,,240
WYO Girls U 19kg,FEMALE,7,8,,19,ORANGE,WHITE,120,,240
WYO Girls U 22kg,FEMALE,7,8,19.1,22,ORANGE,WHITE,120,,240
WYO Girls U 25kg,FEMALE,7,8,22.1,25,ORANGE,WHITE,120,,240
WYO Girls U 28kg,FEMALE,7,8,25.1,28,ORANGE,WHITE,120,,240
WYO Girls U 32kg,FEMALE,7,8,28.1,32,ORANGE,WHITE,120,,240
WYO Girls U 36kg,FEMALE,7,8,32.1,36,ORANGE,WHITE,120,,240
WYO Girls U 40kg,FEMALE,7,8,36.1,40,ORANGE,WHITE,120,,240
WYO Girls U 44kg,FEMALE,7,8,40.1,44,ORANGE,WHITE,120,,240
WYO Girls + 44kg,FEMALE,7,8,44.1,,ORANGE,WHITE,120,,240
