Fight,Player 1,Player 2
1,P1,P17
2,P9,P25
3,P5,P21
4,P13,P29
5,P3,P19
6,P11,P27
7,P7,P23
8,P15,P31
9,P2,P18
10,P10,P26
11,P6,P22
12,P14,P30
13,P4,P20
14,P12,P28
15,P8,P24
16,P16,P32
17,W1,W2
18,W3,W4
19,W5,W6
20,W7,W8
21,W9,W10
22,W11,W12
23,W13,W14
24,W15,W16
25,W17,W18
26,W19,W20
27,W21,W22
28,W23,W24
29,L1,L2
30,L3,L4
31,L5,L6
32,L7,L8
33,L9,L10
34,L11,L12
35,L13,L14
36,L15,L16
37,W29,L24
38,W30,L23
39,W31,L22
40,W32,L21
41,W33,L20
42,W34,L19
43,W35,L18
44,W36,L17
45,W37,W38
46,W39,W40
47,W41,W42
48,W43,W44
49,W45,L25
50,W46,L26
51,W47,L27
52,W48,L28
53,W25,W26
54,W27,W28
55,W49,W50
56,W51,W52
57,W55,L54
58,W56,L53
59,W29,W30
