Fight,Player 1,Player 2,iPoints,wPoints,yPoints,dPoints,lPoints
1,P1,P9,0,0,0,0,0
2,P5,P13,0,0,0,0,0
3,P3,P11,0,0,0,0,0
4,P7,P15,0,0,0,0,0
5,P2,P10,0,0,0,0,0
6,P6,P14,0,0,0,0,0
7,P4,P12,0,0,0,0,0
8,P8,P16,0,0,0,0,0
9,L1,L2,0,0,0,0,0
10,L3,L4,0,0,0,0,0
11,L5,L6,0,0,0,0,0
12,L7,L8,0,0,0,0,0
13,W1,W2,0,0,0,0,0
14,W3,W4,0,0,0,0,0
15,W5,W6,0,0,0,0,0
16,W7,W8,0,0,0,0,0
17,W9,L16,0,0,0,0,0
18,W10,L15,0,0,0,0,0
19,W11,L14,0,0,0,0,0
20,W12,L13,0,0,0,0,0
21,W13,W14,0,0,0,0,0
22,W15,W16,0,0,0,0,0
23,W17,W18,0,0,0,0,0
24,W19,W20,0,0,0,0,0
25,W23,L21,1,1,1,1,0
26,W24,L22,1,1,1,1,0
27,W21,W22,3,3,3,3,2
